cohort,outcome,percentile_threshold,group_kind,group_value,status,reason,n_outcome_valid,n_in_top,n_group_total,pct_of_top,pct_of_sample,representation_ratio,threshold_value,source_data
nlsy79,household_income,90,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,4736,177,1205,0.373418,0.254434,1.4676,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,90,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,4736,177,1288,0.373418,0.271959,1.3731,103883.5,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race,BLACK,computed,,4736,8,1376,0.075472,0.290541,0.2598,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race,HISPANIC,computed,,4736,9,867,0.084906,0.183066,0.4638,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race,"NON-BLACK, NON-HISPANIC",computed,,4736,89,2493,0.839623,0.526394,1.595,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,sex,male,computed,,4736,53,2243,0.5,0.473606,1.0557,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,sex,female,computed,,4736,53,2493,0.5,0.526394,0.9499,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race_sex,BLACK|male,computed,,4736,6,635,0.056604,0.134079,0.4222,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race_sex,BLACK|female,computed,,4736,2,741,0.018868,0.156461,0.1206,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race_sex,HISPANIC|male,computed,,4736,3,403,0.028302,0.085093,0.3326,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race_sex,HISPANIC|female,computed,,4736,6,464,0.056604,0.097973,0.5777,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,4736,44,1205,0.415094,0.254434,1.6314,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,household_income,99,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,4736,45,1288,0.424528,0.271959,1.561,332808.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race,BLACK,computed,,4849,39,1497,0.080412,0.308723,0.2605,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race,HISPANIC,computed,,4849,57,887,0.117526,0.182924,0.6425,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race,"NON-BLACK, NON-HISPANIC",computed,,4849,389,2465,0.802062,0.508352,1.5778,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,sex,male,computed,,4849,243,2378,0.501031,0.49041,1.0217,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,sex,female,computed,,4849,242,2471,0.498969,0.50959,0.9792,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race_sex,BLACK|male,computed,,4849,25,727,0.051546,0.149928,0.3438,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race_sex,BLACK|female,computed,,4849,14,770,0.028866,0.158796,0.1818,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race_sex,HISPANIC|male,computed,,4849,26,434,0.053608,0.089503,0.599,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race_sex,HISPANIC|female,computed,,4849,31,453,0.063918,0.093421,0.6842,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,4849,192,1217,0.395876,0.25098,1.5773,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,90,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,4849,197,1248,0.406186,0.257373,1.5782,335000.2,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race,BLACK,computed,,4849,5,1497,0.045455,0.308723,0.1472,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race,HISPANIC,computed,,4849,12,887,0.109091,0.182924,0.5964,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race,"NON-BLACK, NON-HISPANIC",computed,,4849,93,2465,0.845455,0.508352,1.6631,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,sex,male,computed,,4849,57,2378,0.518182,0.49041,1.0566,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,sex,female,computed,,4849,53,2471,0.481818,0.50959,0.9455,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race_sex,BLACK|male,computed,,4849,4,727,0.036364,0.149928,0.2425,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race_sex,BLACK|female,computed,,4849,1,770,0.009091,0.158796,0.0572,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race_sex,HISPANIC|male,computed,,4849,8,434,0.072727,0.089503,0.8126,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race_sex,HISPANIC|female,computed,,4849,4,453,0.036364,0.093421,0.3892,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,4849,45,1217,0.409091,0.25098,1.63,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,net_worth,99,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,4849,48,1248,0.436364,0.257373,1.6955,2032840.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race,BLACK,computed,,9258,396,2345,0.201424,0.253294,0.7952,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race,HISPANIC,computed,,9258,202,1361,0.102747,0.147008,0.6989,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race,"NON-BLACK, NON-HISPANIC",computed,,9258,1368,5552,0.695829,0.599698,1.1603,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,sex,male,computed,,9258,880,4585,0.447609,0.495247,0.9038,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,sex,female,computed,,9258,1086,4673,0.552391,0.504753,1.0944,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race_sex,BLACK|male,computed,,9258,160,1169,0.081384,0.126269,0.6445,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race_sex,BLACK|female,computed,,9258,236,1176,0.120041,0.127025,0.945,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race_sex,HISPANIC|male,computed,,9258,86,661,0.043744,0.071398,0.6127,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race_sex,HISPANIC|female,computed,,9258,116,700,0.059003,0.07561,0.7804,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,9258,634,2755,0.322482,0.29758,1.0837,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,90,race_sex,"NON-BLACK, NON-HISPANIC|female",computed,,9258,734,2797,0.373347,0.302117,1.2358,16.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,race,BLACK,computed,,9258,35,2345,0.190217,0.253294,0.751,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,race,HISPANIC,computed,,9258,26,1361,0.141304,0.147008,0.9612,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,race,"NON-BLACK, NON-HISPANIC",computed,,9258,123,5552,0.668478,0.599698,1.1147,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,sex,male,computed,,9258,109,4585,0.592391,0.495247,1.1962,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,sex,female,computed,,9258,75,4673,0.407609,0.504753,0.8075,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,race_sex,BLACK|male,computed,,9258,15,1169,0.081522,0.126269,0.6456,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,race_sex,BLACK|female,computed,,9258,20,1176,0.108696,0.127025,0.8557,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,race_sex,HISPANIC|male,computed,,9258,16,661,0.086957,0.071398,1.2179,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,race_sex,HISPANIC|female,computed,,9258,10,700,0.054348,0.07561,0.7188,20.0,data/processed/nlsy79_cfa_resid.csv
nlsy79,education_years,99,race_sex,"NON-BLACK, NON-HISPANIC|male",computed,,9258,78,2755,0.423913,0.29758,1.4245,20.0,data/processed/nlsy79_cfa_resid.csv
